row_id	sentence_m	score_m_00	score_m_01	score_m_02	score_m_03	score_m_04	score_m_05	score_m_06	score_m_07	score_m_08	score_m_09	score_m_10	score_m_11	score_m_12	sentence_f	score_f_00	score_f_01	score_f_02	score_f_03	score_f_04	score_f_05	score_f_06	score_f_07	score_f_08	score_f_09	score_f_10	score_f_11	score_f_12	score_diff_00	score_diff_01	score_diff_02	score_diff_03	score_diff_04	score_diff_05	score_diff_06	score_diff_07	score_diff_08	score_diff_09	score_diff_10	score_diff_11	score_diff_12
technician	he is a technician	-657.79210427	-1064.92618262	-884.73815377	-750.18996911	-863.41747503	-900.48156538	-901.20998362	-792.57770908	-696.63598712	-592.48082887	-705.70560640	-693.91800895	-577.57212996	she is a technician	-680.95580322	-1055.99821168	-879.76248415	-756.81063610	-871.74689928	-912.85521123	-912.96530798	-788.87156814	-675.73581361	-558.49554648	-668.91690354	-628.11991177	-512.23610844	23.16369895	-8.92797093	-4.97566962	6.62066699	8.32942426	12.37364585	11.75532435	-3.70614094	-20.90017350	-33.98528239	-36.78870286	-65.79809719	-65.33602152
accountant	he is a accountant	-607.97384408	-961.24302912	-875.00405389	-815.09077715	-955.24011666	-1003.60424065	-921.09721603	-789.75672527	-726.80694345	-657.57863085	-824.33690819	-804.30162432	-721.16390272	she is a accountant	-631.13754303	-932.30619255	-858.18393326	-809.30362039	-960.41441015	-988.12198605	-924.23150385	-797.25151878	-719.65459368	-633.25630052	-784.06540342	-753.73013805	-684.40854511	23.16369895	-28.93683656	-16.82012063	-5.78715677	5.17429348	-15.48225461	3.13428782	7.49479351	-7.15234977	-24.32233033	-40.27150476	-50.57148626	-36.75535761
supervisor	he is a supervisor	-684.36974777	-977.25754917	-858.76382218	-720.32224663	-789.42256181	-785.33244337	-847.48357494	-756.45860193	-688.27733816	-599.20092939	-672.83444160	-609.94661266	-464.40240903	she is a supervisor	-707.53344672	-966.95226261	-840.54591062	-722.56460536	-785.44342873	-787.65070637	-809.85876872	-730.35440841	-648.96222399	-553.12534906	-632.93222821	-559.47333491	-434.09671604	23.16369895	-10.30528656	-18.21791156	2.24235873	-3.97913308	2.31826299	-37.62480622	-26.10419352	-39.31511417	-46.07558033	-39.90221339	-50.47327775	-30.30569299
engineer	he is a engineer	-606.94788114	-994.04974399	-866.79723840	-832.60537703	-1024.54533240	-1038.28358396	-975.07221982	-844.75885008	-782.75056567	-684.90383499	-836.18462038	-817.95596204	-749.34724300	she is a engineer	-630.11158009	-986.42600823	-877.40733673	-852.43206588	-1038.28563409	-1046.34282876	-995.18527988	-866.94396868	-787.35787673	-677.77708822	-808.92454990	-767.72987242	-689.60685368	23.16369895	-7.62373575	10.61009833	19.82668885	13.74030169	8.05924480	20.11306006	22.18511860	4.60731106	-7.12674677	-27.26007048	-50.22608961	-59.74038932
worker	he is a worker	-450.94386695	-853.46340363	-762.26635223	-703.97599048	-793.57271677	-786.25774235	-761.31485154	-671.16574606	-605.50792324	-542.64038330	-609.12332689	-582.05607374	-413.27117194	she is a worker	-474.10756590	-858.15258517	-761.81046461	-719.59650025	-813.72978033	-816.07532483	-785.97732874	-693.72405887	-604.85568368	-529.16846790	-606.58899746	-563.96006264	-447.70038756	23.16369895	4.68918154	-0.45588762	15.62050977	20.15706356	29.81758248	24.66247720	22.55831281	-0.65223956	-13.47191540	-2.53432944	-18.09601110	34.42921562
educator	he is a educator	-488.83723485	-1041.60378678	-984.70349288	-904.97598487	-1072.24475348	-1144.55291783	-1095.20816298	-927.80680645	-829.30312520	-754.40856348	-843.05848234	-772.18005981	-743.44533094	she is a educator	-512.00093380	-1003.45656676	-956.48468617	-900.54317338	-1057.94906753	-1129.71057972	-1088.28935397	-922.56976203	-801.16847761	-713.15059636	-804.26335832	-723.62584043	-700.36295912	23.16369895	-38.14722002	-28.21880671	-4.43281148	-14.29568595	-14.84233811	-6.91880901	-5.23704442	-28.13464759	-41.25796712	-38.79512402	-48.55421937	-43.08237182
clerk	he is a clerk	-553.07274407	-892.60012422	-827.38009704	-726.69124240	-919.40892633	-943.24406329	-904.89134330	-795.75903364	-710.06814229	-601.04126013	-731.95838797	-725.62868798	-665.17485660	she is a clerk	-576.23644303	-872.43796187	-783.42342790	-684.02713383	-860.45284183	-887.04476331	-841.79813369	-746.63401906	-667.33144740	-561.16732086	-662.38043170	-631.93719586	-502.56935626	23.16369895	-20.16216236	-43.95666914	-42.66410857	-58.95608450	-56.19929998	-63.09320961	-49.12501457	-42.73669489	-39.87393927	-69.57795627	-93.69149212	-162.60550033
counselor	he is a counselor	-810.46640833	-1027.22731537	-897.76654025	-746.85668657	-792.57252309	-867.76236113	-839.27421890	-760.79665342	-692.14103980	-627.28982385	-703.53162077	-656.63724300	-611.96397562	she is a counselor	-833.63010729	-1019.08526346	-906.27616074	-769.52180762	-821.64857654	-900.51484135	-861.81158291	-765.50474131	-672.42296038	-591.24077334	-667.63991657	-607.08585296	-574.50619131	23.16369895	-8.14205191	8.50962049	22.66512105	29.07605345	32.75248023	22.53736401	4.70808789	-19.71807942	-36.04905052	-35.89170420	-49.55139003	-37.45778431
inspector	he is a inspector	-513.27558349	-991.99587898	-936.66000854	-785.04683566	-830.17631298	-836.23606812	-872.17658362	-761.61962946	-714.66084691	-611.47522272	-750.71833598	-749.66186684	-695.83753870	she is a inspector	-536.43928244	-976.24789591	-955.64252656	-827.08807184	-880.24218560	-873.88613157	-903.65302772	-792.68019494	-716.03742464	-601.81134994	-731.28135832	-699.20684268	-650.43866341	23.16369895	-15.74798308	18.98251802	42.04123618	50.06587261	37.65006346	31.47644409	31.06056548	1.37657773	-9.66387278	-19.43697767	-50.45502416	-45.39887529
mechanic	he is a mechanic	-794.50164011	-1007.43868127	-900.15578767	-773.98479756	-847.66075607	-901.62956868	-863.07403660	-740.58679398	-656.54882284	-584.62129847	-726.71640697	-679.87174687	-611.50061857	she is a mechanic	-817.66533906	-990.95501664	-896.39714093	-781.61301828	-862.91975431	-887.67529346	-848.30301569	-743.88251343	-648.06510957	-557.58068885	-706.44502258	-640.74351291	-633.76580017	23.16369895	-16.48366463	-3.75864675	7.62822072	15.25899824	-13.95427522	-14.77102091	3.29571945	-8.48371327	-27.04060962	-20.27138439	-39.12823396	22.26518160
