,inputs,template_id,word_id,template,word,"label-k-means (n_clusters = 8, distance = cosine)","label-k-means (n_clusters = 9, distance = cosine)","label-hierarchical (n_clusters = 8, distance = cosine, linkage = average)","label-hierarchical (n_clusters = 9, distance = cosine, linkage = average)","label-hierarchical (n_clusters = 8, distance = euclidean, linkage = ward)","label-hierarchical (n_clusters = 9, distance = euclidean, linkage = ward)"
0,[0 0],0,0,"I love [WORD], I would eat it every day.",pizza,4,0,6.0,6.0,7.0,7.0
1,[0 1],0,1,"I love [WORD], I would eat it every day.",lasagna,6,2,0.0,8.0,6.0,6.0
2,[0 2],0,2,"I love [WORD], I would eat it every day.",hamburger,4,6,7.0,7.0,0.0,8.0
3,[0 3],0,3,"I love [WORD], I would eat it every day.",soup,3,3,3.0,3.0,2.0,2.0
4,[0 4],0,4,"I love [WORD], I would eat it every day.",sandwich,3,4,4.0,1.0,0.0,1.0
5,[0 5],0,5,"I love [WORD], I would eat it every day.",salad,3,1,1.0,0.0,1.0,0.0
6,[0 6],0,6,"I love [WORD], I would eat it every day.",sushi,0,2,5.0,5.0,3.0,3.0
7,[0 7],0,7,"I love [WORD], I would eat it every day.",taco,7,5,0.0,4.0,5.0,5.0
8,[0 8],0,8,"I love [WORD], I would eat it every day.",goulash,5,8,2.0,2.0,4.0,4.0
9,[1 0],1,0,This [WORD] is amazing!,pizza,4,0,6.0,6.0,7.0,7.0
10,[1 1],1,1,This [WORD] is amazing!,lasagna,1,2,0.0,8.0,6.0,6.0
11,[1 2],1,2,This [WORD] is amazing!,hamburger,4,7,7.0,7.0,0.0,8.0
12,[1 3],1,3,This [WORD] is amazing!,soup,3,3,3.0,3.0,2.0,2.0
13,[1 4],1,4,This [WORD] is amazing!,sandwich,3,4,4.0,1.0,0.0,1.0
14,[1 5],1,5,This [WORD] is amazing!,salad,4,1,1.0,0.0,1.0,0.0
15,[1 6],1,6,This [WORD] is amazing!,sushi,0,2,5.0,5.0,3.0,3.0
16,[1 7],1,7,This [WORD] is amazing!,taco,7,5,0.0,4.0,5.0,5.0
17,[1 8],1,8,This [WORD] is amazing!,goulash,5,8,2.0,2.0,4.0,4.0
