word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
abstracter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.35928868524107044	-0.40540429719802346	-0.35579542257726404	-0.37784317982945426	-0.4728844997162087	-0.38271015313694173	-0.4252178833056346	-0.5362445893455254	-0.5919390471560989	-0.7024564953684103	-0.6743930140266472	-0.44397675774297624	-0.4283283725474245
abstractor	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.4240908498849464	-0.5789745234439593	-0.5101131742666691	-0.4992427983422134	-0.5096524922915537	-0.458948050321455	-0.43887763619168096	-0.4849813802728386	-0.5401993532940031	-0.6092623572683541	-0.4521379879353683	-0.5069543337816366	-0.4239760548193603
accessioner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.04951466043117969	-0.15339819989483602	-0.21701859263587467	-0.2942215720487844	-0.3466365470166956	-0.3302765831580987	-0.4527548968384605	-0.5778505005984174	-0.6760540558028858	-0.7222838196278114	-0.7468818650986028	-0.8414605709101498	-0.5342307943640632
accountant	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.2235286594360641	-0.3511842202255543	-0.3186312466154069	-0.2459829251199186	-0.16301147140283226	-0.0026503586381917826	-0.2071322507600149	-0.1962764095641618	-0.3145874731471717	-0.17972022945459726	0.0006828003260689053	0.1123038446364617	0.12861887035492875
acidizer	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.3617558640147196	-0.19116460033977867	-0.12538464045412318	0.027188409761083054	-0.09594669071915686	-0.2462698772867088	-0.29131788212656134	-0.2811307864057673	-0.2832087407432633	-0.2295162427911942	-0.19490236602528238	-0.01171152112715177	-0.23475614696115857
actuary	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.07804359501105233	-0.09621241139853697	-0.11433833544557159	-0.06147384540283815	-0.2156990099467299	-0.018729316079445946	-0.16447802512563836	-0.32580683899964374	-0.30764956914815383	-0.2963378276269224	-0.31386488515001276	-0.29120213244374005	-0.30294257027825167
acupressurist	2	1	2	2	1	2	1	1	1	1	1	2	1	0.04367967201117913	-0.01663227042808104	0.07151719849459315	0.03976923811185089	-0.07813408650796944	0.013724492438533298	-0.08895816871424062	-0.056435237342475436	-0.10626001707908662	-0.017058707386883323	-0.0668639679645697	0.04431631655137666	-0.151881700088935
acupuncturist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.09936162307466814	-0.15235950916551386	-0.12613780841804742	-0.05485554562556088	-0.1454374485528501	-0.17311690906492702	-0.28666115100409906	-0.23549897935214348	-0.24714684617160385	-0.09552479082672558	-0.007473488914595622	0.09323165308837889	-0.0686358340376215
addresser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14706510936164136	-0.20789074859386947	-0.07085282317720529	-0.10485123455496592	-0.1305321816155891	-0.1891559456210908	-0.2855619867971106	-0.4172913308121959	-0.5094503573793294	-0.6732073510152281	-0.4519735313592195	-0.21643699843400044	-0.24507441019201745
adjuster	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.16710097049302944	-0.15919664160364033	-0.1814139643909573	-0.2831653062084275	-0.4700131431274163	-0.11033195775236908	-0.22114556244517897	-0.321638624042843	-0.2759550383882633	-0.3748861758539281	-0.3208850754585709	-0.06746396868834195	-0.11841650893751438
admeasurer	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.1113607774928866	-0.1392523738554458	-0.06148638431172879	-0.02427867141074007	-0.15220282268605825	-0.09736275197605201	-0.11552771936078701	-0.2344341493529023	-0.24055563605211774	-0.3797438653956512	-0.1349649569642212	0.17320704066309822	0.24940969285007403
administrator	1	1	2	2	2	1	1	1	1	2	2	2	2	-0.057112588014505666	0.0007222555035214795	0.06907087415711835	0.14133842130815796	0.24619434565266707	-0.051186136525179275	-0.031140691554864194	-0.11030770080203428	-0.17856392637278862	0.005630793174078497	0.34139552016097574	0.32536498506818656	0.4292679231702403
adon	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2633735197046842	-0.3296934231040662	-0.3938963384558685	-0.5361011426286671	-0.7635839398464835	-0.7946024432502108	-0.6860328789074106	-0.6989945656042308	-0.5161796683613981	-0.8695627291232538	-0.630469813950183	-0.7728113913812918	-0.9362316669868305
advertiser	2	1	1	2	1	1	2	2	1	1	2	2	2	0.006957381871370023	-0.1054448755841354	-0.10032249440185124	0.14297485869543114	-0.018810613143162236	-0.06453120202790547	0.033135033331378995	0.07165719324218417	-0.14434435016104094	-0.18232555994834387	0.038307691573114186	0.2580794126198577	0.2275451364803695
aemt	2	2	2	2	2	2	2	1	1	1	1	1	1	0.030393863608892378	0.061481715500091356	0.02383898552931428	0.16479051391245972	0.03445816091138003	0.11096622283079041	0.03959662452943767	-0.0037797935388408643	-0.053894666598358176	-0.14028525714430656	-0.04729360406533936	-0.11032910784302083	-0.09949641731908018
aerodynamicist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2149251950429492	-0.1750172612805071	-0.27385209962722695	-0.23871803993457813	-0.21437932952749164	-0.11899321793682288	-0.27268384881763885	-0.3595388958421102	-0.5174030642797233	-0.5188265967477915	-0.7811092993476424	-0.7217939654325072	-1.1986889944370573
aerographer	1	2	1	1	2	2	1	1	1	1	1	2	1	0.0052127040169327385	0.04021609685311409	-0.04920002913948014	-0.007348019401232066	0.02375333818688319	0.07758903924760596	-0.06139868858502229	-0.06710078916251899	-0.3156526774231808	-0.24957452860547702	-0.16229552856756832	0.06757954305278968	-0.23942523805706822
aerologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.09497622910656531	-0.018380537057411647	-0.09824035276250255	-0.16188442620668453	-0.10769899723878086	-0.24857890941509908	-0.3463598829009123	-0.3790678237495901	-0.42699321841701343	-0.4293224436523114	-0.4454339960491407	-0.3363816656091872	-0.7470978033721039
aerophysicist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.1738207161812386	-0.2152366613826277	-0.33302121334684454	-0.3529471359138029	-0.23500191307723892	-0.2803445739366449	-0.34204249408457854	-0.3334092202768948	-0.45690681775604164	-0.5443844226676222	-0.6406460088938908	-0.4806062737699659	-0.6465372765135294
aesthetician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.15463325910470177	-0.17496112955908996	-0.1713912915707012	-0.06619256267030627	-0.05378382084016341	-0.08672332567786181	-0.1662543539505708	-0.21308145689921382	-0.4678796239132747	-0.7375240264616029	-0.71400901388986	-0.6709289251153769	-0.7083996039270145
afterschool	2	2	2	1	1	1	1	1	1	1	1	1	2	0.016640029811627835	0.12825199413381755	0.006356650508485412	-0.08182836991691114	-0.1016712172581069	-0.04554164981516004	-0.19622191133431321	-0.015957332271723634	-0.18214929551800357	-0.203106959282338	-0.08536283504053427	-0.43620630072944727	0.18194497295661594
agent	1	1	2	2	2	2	2	2	1	2	2	2	2	-0.15150743629267255	-0.11514601719471938	0.00862532814646949	0.04236423916491027	0.13799223680019332	0.23544698077025575	0.19905867136965524	0.11881740400168986	-0.012341152051852072	0.06595292805239879	0.18225462402499903	0.16376428424558342	0.39241825858866375
agriculturist	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.1757417999395034	-0.2727511879814265	-0.229601281706856	-0.16361110082393088	-0.27174462865927257	-0.15852382108728275	-0.21742053915327333	-0.24752780404974345	-0.24670441377200647	-0.23374828289876098	-0.2294717181466193	-0.1188800402806478	0.2091303457564377
agronomist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2012891886547978	-0.31515589616014006	-0.2234924446704033	-0.22929587616565095	-0.39125760208825006	-0.3316526140806557	-0.29867838453399564	-0.4035697593583579	-0.447740094572028	-0.4846447805901011	-0.5454940000395436	-0.2872204033305994	-0.3359531550279532
aircrewman	1	1	1	1	2	2	2	2	1	2	2	2	2	-0.20052643244262985	-0.2203933862320714	-0.23750261123345423	-0.06659616980806071	0.0565219792914507	0.20368774810259865	0.15597939797217636	0.05099142860358542	-0.05930392208365879	0.16786055172994563	0.24390940250184998	0.38936871523174665	0.5852384221519528
algebraist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.3201296860967324	-0.4879489698881354	-0.5651319800426458	-0.6242005220428237	-0.4361450926337672	-0.5412950961083572	-0.6563017451378595	-0.6728642867220131	-0.6447797337656516	-0.8464731482543505	-0.9798665054689171	-0.7115611564826202	-1.0680443449115473
algologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14906311975756562	-0.17250409547643275	-0.20872297340520857	-0.07858052669999882	-0.1836026988408429	-0.29786771150728575	-0.34255094384497	-0.3390422321737635	-0.33683071949462184	-0.48018364924774554	-0.705607099888501	-0.480013606755867	-0.4213556835089266
aligner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2578650458787983	-0.300594836876546	-0.45701084163277317	-0.5195481118341951	-0.8170774724951914	-0.6896498633479566	-0.7644538139194332	-0.9820367846020455	-0.8208244717454267	-1.0136607173728835	-1.3792410446833938	-1.3173810705443987	-1.1103878835655991
allergist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.17687042706225303	-0.2509782912597637	-0.27283135933555325	-0.2734587484318671	-0.3235896627524678	-0.16843139939571156	-0.3066927699835398	-0.34983931684875114	-0.42845120536732534	-0.587165436503581	-0.5535052188310043	-0.3130099384986327	-0.3988414136963022
aluminizer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.07578976039616747	-0.06026484610329181	-0.13260436173042456	-0.08353533126476576	-0.2158715719269633	-0.31571827772744354	-0.27312760310390183	-0.22959301710346602	-0.29084992014018	-0.2928095850277575	-0.32161634192882016	-0.013804025154775565	0.13278826199618038
amalgamator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.12153226587249782	-0.32567095601998264	-0.19526363704716454	-0.21333028591590947	-0.274555136073337	-0.22478694411733116	-0.22222520494059228	-0.2180117959515237	-0.25728027589200586	-0.4293724469861251	-0.41133120448226185	-0.08094799333138558	-0.08770361085818143
anaesthesiologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.12686151289784975	-0.11682089094243804	-0.060826411485990675	-0.003733765540837354	0.0010780898757926094	-0.020713206260440188	-0.0735040903976116	-0.1030873043266166	-0.06611075689655067	-0.20859697496609697	-0.29210150190717016	-0.16482461142138038	-0.013086629740962252
analyst	2	1	1	1	1	1	1	1	1	1	1	1	1	0.06218128389624669	-0.03849497058237349	-0.1717823743315052	-0.09295833874054399	-0.1337272566910148	-0.2650616608131958	-0.39130568039498026	-0.26844754747795574	-0.36813273627944937	-0.2836155381793785	-0.3602059297515012	-0.1695728469966529	-0.16015849065584767
anchorer	2	2	2	1	1	1	1	1	1	1	2	2	1	0.010989402919962699	0.07284280544955238	0.07918653429529995	-0.08119546769577804	-0.3895584390009401	-0.15580877214158007	-0.17452840897499594	-0.11905417637141116	-0.0747516369476563	-0.058310622235838924	0.14029479227067287	0.4528664225019952	-0.101208385486104
anchorman	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.26126487392696446	-0.1797712308628054	-0.19720445717297155	-0.3267301522958088	-0.5032218666312702	-0.20934277454995714	-0.22110965572567648	-0.17620044378994665	-0.13754193585611613	-0.07207820626735541	0.12387333756783399	0.4666031078576477	0.044948137578533165
